fortune_rank_2025,company_name,ticker,cik_padded,target_report_year,ai_window_count,topic_0_count,topic_0_share,topic_1_count,topic_1_share,topic_2_count,topic_2_share,topic_3_count,topic_3_share,topic_4_count,topic_4_share,topic_5_count,topic_5_share,seed_efficiency_productivity_count,seed_efficiency_productivity_share,seed_negative_sensitive_count,seed_negative_sensitive_share,seed_content_generation_count,seed_content_generation_share,seed_privacy_data_security_count,seed_privacy_data_security_share,seed_infrastructure_platform_count,seed_infrastructure_platform_share,k
14,Cigna Group,CI,0001739940,2023,23,2,0.086957,0,0.0,2,0.086957,11,0.478261,7,0.304348,1,0.043478,10,0.434783,38,1.652174,0,0.0,31,1.347826,12,0.521739,6
14,Cigna Group,CI,0001739940,2024,27,3,0.111111,0,0.0,2,0.074074,15,0.555556,7,0.259259,0,0.0,14,0.518519,59,2.185185,2,0.074074,55,2.037037,33,1.222222,6
14,Cigna Group,CI,0001739940,2025,35,3,0.085714,0,0.0,3,0.085714,21,0.6,8,0.228571,0,0.0,18,0.514286,68,1.942857,8,0.228571,62,1.771429,43,1.228571,6
15,Cardinal Health,CAH,0000721371,2024,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,0,0.0,3,0.75,0,0.0,12,3.0,9,2.25,6
15,Cardinal Health,CAH,0000721371,2025,3,1,0.333333,0,0.0,1,0.333333,0,0.0,0,0.0,1,0.333333,1,0.333333,6,2.0,0,0.0,10,3.333333,4,1.333333,6
16,Nvidia,NVDA,0001045810,2023,86,7,0.081395,53,0.616279,0,0.0,10,0.116279,9,0.104651,7,0.081395,25,0.290698,61,0.709302,17,0.197674,85,0.988372,186,2.162791,6
16,Nvidia,NVDA,0001045810,2024,111,14,0.126126,59,0.531532,3,0.027027,15,0.135135,13,0.117117,7,0.063063,39,0.351351,78,0.702703,24,0.216216,111,1.0,204,1.837838,6
16,Nvidia,NVDA,0001045810,2025,134,24,0.179104,65,0.485075,2,0.014925,22,0.164179,11,0.08209,10,0.074627,58,0.432836,103,0.768657,27,0.201493,127,0.947761,236,1.761194,6
17,Meta Platforms,META,0001326801,2023,53,9,0.169811,0,0.0,0,0.0,18,0.339623,17,0.320755,9,0.169811,26,0.490566,126,2.377358,46,0.867925,133,2.509434,49,0.924528,6
17,Meta Platforms,META,0001326801,2024,69,14,0.202899,0,0.0,0,0.0,21,0.304348,21,0.304348,13,0.188406,30,0.434783,181,2.623188,69,1.0,197,2.855072,76,1.101449,6
17,Meta Platforms,META,0001326801,2025,109,17,0.155963,2,0.018349,3,0.027523,31,0.284404,34,0.311927,22,0.201835,38,0.348624,215,1.972477,79,0.724771,244,2.238532,123,1.12844,6
18,Elevance Health,ELV,0001156039,2023,2,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,3,1.5,4,2.0,0,0.0,6,3.0,5,2.5,6
18,Elevance Health,ELV,0001156039,2024,13,3,0.230769,0,0.0,2,0.153846,4,0.307692,4,0.307692,0,0.0,11,0.846154,55,4.230769,0,0.0,51,3.923077,14,1.076923,6
18,Elevance Health,ELV,0001156039,2025,15,2,0.133333,0,0.0,2,0.133333,7,0.466667,4,0.266667,0,0.0,11,0.733333,65,4.333333,0,0.0,58,3.866667,21,1.4,6
19,Centene,CNC,0001071739,2023,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,1,1.0,13,13.0,0,0.0,9,9.0,4,4.0,6
19,Centene,CNC,0001071739,2024,15,3,0.2,0,0.0,3,0.2,7,0.466667,0,0.0,2,0.133333,11,0.733333,60,4.0,0,0.0,61,4.066667,9,0.6,6
19,Centene,CNC,0001071739,2025,20,6,0.3,0,0.0,3,0.15,8,0.4,2,0.1,1,0.05,17,0.85,66,3.3,0,0.0,67,3.35,15,0.75,6
20,Bank of America,BAC,0000070858,2023,11,5,0.454545,0,0.0,4,0.363636,0,0.0,0,0.0,2,0.181818,10,0.909091,43,3.909091,1,0.090909,40,3.636364,25,2.272727,6
20,Bank of America,BAC,0000070858,2024,23,9,0.391304,0,0.0,5,0.217391,2,0.086957,0,0.0,7,0.304348,10,0.434783,97,4.217391,1,0.043478,61,2.652174,43,1.869565,6
20,Bank of America,BAC,0000070858,2025,30,14,0.466667,0,0.0,4,0.133333,8,0.266667,0,0.0,4,0.133333,11,0.366667,109,3.633333,1,0.033333,75,2.5,57,1.9,6
21,Chevron,CVX,0000093410,2023,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,3,1.5,1,0.5,0,0.0,3,1.5,1,0.5,6
21,Chevron,CVX,0000093410,2024,5,0,0.0,0,0.0,0,0.0,0,0.0,5,1.0,0,0.0,5,1.0,0,0.0,0,0.0,6,1.2,3,0.6,6
21,Chevron,CVX,0000093410,2025,8,0,0.0,0,0.0,0,0.0,3,0.375,4,0.5,1,0.125,4,0.5,15,1.875,0,0.0,13,1.625,7,0.875,6
22,Ford Motor,F,0000037996,2023,14,5,0.357143,0,0.0,0,0.0,0,0.0,1,0.071429,8,0.571429,14,1.0,17,1.214286,0,0.0,36,2.571429,8,0.571429,6
22,Ford Motor,F,0000037996,2024,15,5,0.333333,0,0.0,0,0.0,1,0.066667,0,0.0,9,0.6,14,0.933333,24,1.6,0,0.0,62,4.133333,7,0.466667,6
22,Ford Motor,F,0000037996,2025,7,5,0.714286,0,0.0,0,0.0,1,0.142857,0,0.0,1,0.142857,10,1.428571,18,2.571429,0,0.0,43,6.142857,4,0.571429,6
23,General Motors,GM,0001467858,2024,3,0,0.0,0,0.0,1,0.333333,0,0.0,1,0.333333,1,0.333333,0,0.0,3,1.0,0,0.0,6,2.0,2,0.666667,6
23,General Motors,GM,0001467858,2025,11,4,0.363636,0,0.0,2,0.181818,1,0.090909,4,0.363636,0,0.0,4,0.363636,26,2.363636,0,0.0,47,4.272727,7,0.636364,6
24,Citigroup,C,0000831001,2023,4,0,0.0,0,0.0,2,0.5,2,0.5,0,0.0,0,0.0,0,0.0,17,4.25,0,0.0,5,1.25,4,1.0,6
24,Citigroup,C,0000831001,2024,13,0,0.0,0,0.0,3,0.230769,3,0.230769,3,0.230769,4,0.307692,5,0.384615,42,3.230769,6,0.461538,12,0.923077,25,1.923077,6
24,Citigroup,C,0000831001,2025,24,2,0.083333,0,0.0,5,0.208333,7,0.291667,3,0.125,7,0.291667,19,0.791667,77,3.208333,5,0.208333,33,1.375,39,1.625,6
25,Home Depot,HD,0000354950,2023,1,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,6
25,Home Depot,HD,0000354950,2024,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,4,1.0,7,1.75,0,0.0,14,3.5,13,3.25,6
25,Home Depot,HD,0000354950,2025,5,2,0.4,0,0.0,1,0.2,0,0.0,0,0.0,2,0.4,5,1.0,8,1.6,0,0.0,18,3.6,15,3.0,6
26,Fannie Mae,FNMA,0000310522,2023,15,1,0.066667,0,0.0,2,0.133333,5,0.333333,4,0.266667,3,0.2,5,0.333333,58,3.866667,0,0.0,33,2.2,33,2.2,6
26,Fannie Mae,FNMA,0000310522,2024,21,1,0.047619,0,0.0,2,0.095238,9,0.428571,4,0.190476,5,0.238095,12,0.571429,75,3.571429,0,0.0,44,2.095238,55,2.619048,6
26,Fannie Mae,FNMA,0000310522,2025,28,3,0.107143,0,0.0,3,0.107143,13,0.464286,6,0.214286,3,0.107143,16,0.571429,96,3.428571,0,0.0,54,1.928571,60,2.142857,6
27,Kroger,KR,0000056873,2024,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,2,2.0,0,0.0,6
27,Kroger,KR,0000056873,2025,6,0,0.0,0,0.0,2,0.333333,3,0.5,0,0.0,1,0.166667,11,1.833333,26,4.333333,0,0.0,23,3.833333,9,1.5,6
28,Verizon Communications,VZ,0000732712,2023,3,1,0.333333,0,0.0,0,0.0,1,0.333333,0,0.0,1,0.333333,0,0.0,5,1.666667,1,0.333333,7,2.333333,1,0.333333,6
28,Verizon Communications,VZ,0000732712,2024,10,2,0.2,0,0.0,1,0.1,4,0.4,1,0.1,2,0.2,10,1.0,14,1.4,1,0.1,9,0.9,7,0.7,6
28,Verizon Communications,VZ,0000732712,2025,18,2,0.111111,3,0.166667,1,0.055556,4,0.222222,5,0.277778,3,0.166667,17,0.944444,24,1.333333,1,0.055556,21,1.166667,17,0.944444,6
29,Phillips 66,PSX,0001534701,2024,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,5,2.5,6,3.0,0,0.0,8,4.0,2,1.0,6
29,Phillips 66,PSX,0001534701,2025,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,5,2.5,6,3.0,0,0.0,8,4.0,2,1.0,6
30,Marathon Petroleum,MPC,0001510295,2023,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,2,1.0,3,1.5,0,0.0,5,2.5,5,2.5,6
